item_id,mal_id,title,type,year,score,members,genres,themes,image_url
anime-12431,12431,Uchuu Kyoudai,TV,2012,8.48,211707,Comedy,Adult Cast|Space|Workplace,https://cdn.myanimelist.net/images/anime/1290/135694l.jpg
anime-3297,3297,Aria the Origination,TV,2008,8.48,142963,Sci-Fi|Slice of Life,Iyashikei,https://cdn.myanimelist.net/images/anime/1431/132867l.jpg
anime-40834,40834,Ousama Ranking,TV,2021,8.48,764132,Adventure|Fantasy,,https://cdn.myanimelist.net/images/anime/1347/117616l.jpg
anime-62076,62076,Super no Ura de Yani Suu Futari,TV,2026,8.47,157886,Romance,Adult Cast|Love Status Quo,https://cdn.myanimelist.net/images/anime/1768/156339l.jpg
anime-57779,57779,Dorohedoro Season 2,ONA,2026,8.47,88222,Action|Comedy|Fantasy|Horror,Gore,https://cdn.myanimelist.net/images/anime/1603/155354l.jpg
anime-37779,37779,Yakusoku no Neverland,TV,2019,8.47,2168317,Mystery|Suspense,Psychological|Survival,https://cdn.myanimelist.net/images/anime/1830/118780l.jpg
anime-30654,30654,Ansatsu Kyoushitsu 2nd Season,TV,2016,8.47,1579635,Action|Comedy,School,https://cdn.myanimelist.net/images/anime/8/77966l.jpg
anime-30276,30276,One Punch Man,TV,2015,8.47,3539908,Action|Comedy,Adult Cast|Parody|Super Power,https://cdn.myanimelist.net/images/anime/12/76049l.jpg
anime-44070,44070,Tian Guan Cifu Special,ONA,2021,8.47,61136,Action|Adventure|Drama|Fantasy,Historical|Mythology,https://cdn.myanimelist.net/images/anime/1043/110306l.jpg
anime-10165,10165,Nichijou,TV,2011,8.47,989174,Comedy,Gag Humor|School,https://cdn.myanimelist.net/images/anime/3/75617l.jpg
anime-63019,63019,Prism Rondo,ONA,2026,8.46,65387,Drama|Romance,Adult Cast|Historical|Visual Arts,https://cdn.myanimelist.net/images/anime/1862/153881l.jpg
anime-62896,62896,Chou Kaguya-hime!,ONA,2026,8.46,101368,Action|Sci-Fi|Supernatural,Music|Mythology,https://cdn.myanimelist.net/images/anime/1758/153953l.jpg
anime-60544,60544,Nezha Zhi Mo Tong Nao Hai,Movie,2025,8.46,12157,Action|Comedy|Drama|Fantasy,Historical,https://cdn.myanimelist.net/images/anime/1616/147002l.jpg
anime-38450,38450,Mo Dao Zu Shi: Xian Yun Pian,ONA,2019,8.46,119590,Action|Adventure|Drama|Fantasy|Mystery,Historical|Mythology|Reincarnation,https://cdn.myanimelist.net/images/anime/1404/106707l.jpg
anime-33049,33049,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,2019,8.46,442735,Action|Fantasy,Urban Fantasy,https://cdn.myanimelist.net/images/anime/1974/98158l.jpg
anime-6114,6114,Rainbow: Nisha Rokubou no Shichinin,TV,2010,8.46,427152,Drama|Suspense,Delinquents|Historical,https://cdn.myanimelist.net/images/anime/9/72697l.jpg
anime-392,392,Yuu☆Yuu☆Hakusho,TV,1992,8.46,758010,Action|Supernatural,Martial Arts|Mythology,https://cdn.myanimelist.net/images/anime/1228/111372l.jpg
anime-47194,47194,Summertime Render,TV,2022,8.46,687619,Mystery|Supernatural|Suspense,Time Travel,https://cdn.myanimelist.net/images/anime/1120/120796l.jpg
anime-37379,37379,Chihayafuru 3,TV,2019,8.46,158242,Drama|Romance|Sports,Love Polygon|School|Strategy Game,https://cdn.myanimelist.net/images/anime/1898/110709l.jpg
anime-37208,37208,Mo Dao Zu Shi,ONA,2018,8.45,257418,Action|Adventure|Drama|Fantasy|Mystery,Historical|Mythology|Reincarnation,https://cdn.myanimelist.net/images/anime/1908/153734l.jpg
anime-31181,31181,Owarimonogatari,TV,2015,8.45,513313,Comedy|Mystery|Supernatural,Vampire,https://cdn.myanimelist.net/images/anime/8/76479l.jpg
anime-11577,11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,2013,8.45,647135,Drama|Sci-Fi,,https://cdn.myanimelist.net/images/anime/1611/112806l.jpg
anime-36649,36649,Banana Fish,TV,2018,8.45,970034,Action|Adventure|Drama|Suspense,Delinquents|Organized Crime|Psychological,https://cdn.myanimelist.net/images/anime/1190/93472l.jpg
anime-37105,37105,Grand Blue,TV,2018,8.45,916349,Comedy,Adult Cast|Gag Humor,https://cdn.myanimelist.net/images/anime/1302/94882l.jpg
anime-44087,44087,Gintama: The Semi-Final,Special,2021,8.45,94285,Action|Comedy,Gag Humor|Historical|Parody|Samurai,https://cdn.myanimelist.net/images/anime/1694/110521l.jpg
anime-40456,40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,2020,8.53,1793553,Action|Supernatural,Historical,https://cdn.myanimelist.net/images/anime/1704/106947l.jpg
anime-61903,61903,Kaguya-sama wa Kokurasetai: Otona e no Kaidan,TV Special,2025,8.52,112132,Comedy|Romance,School,https://cdn.myanimelist.net/images/anime/1112/150697l.jpg
anime-58567,58567,Ore dake Level Up na Ken Season 2: Arise from the Shadow,TV,2025,8.52,804740,Action|Adventure|Fantasy,Adult Cast|Urban Fantasy,https://cdn.myanimelist.net/images/anime/1448/147351l.jpg
anime-7472,7472,Gintama Movie 1: Shinyaku Benizakura-hen,Movie,2010,8.52,178366,Action|Comedy|Sci-Fi,Historical|Parody|Samurai,https://cdn.myanimelist.net/images/anime/4/28803l.jpg
anime-40664,40664,Shoujo☆Kageki Revue Starlight Movie,Movie,2021,8.52,26435,Drama,Music|Performing Arts|School,https://cdn.myanimelist.net/images/anime/1378/119190l.jpg
anime-40417,40417,Fruits Basket 2nd Season,TV,2020,8.52,589684,Drama|Romance|Supernatural,School,https://cdn.myanimelist.net/images/anime/1972/111635l.jpg
anime-12365,12365,Bakuman. 3rd Season,TV,2012,8.52,349272,Comedy|Drama|Romance,Otaku Culture,https://cdn.myanimelist.net/images/anime/6/41845l.jpg
anime-205,205,Samurai Champloo,TV,2004,8.52,1359677,Action|Adventure|Comedy,Historical|Samurai,https://cdn.myanimelist.net/images/anime/1370/135212l.jpg
anime-61322,61322,Dr. Stone: Science Future Part 2,TV,2025,8.51,241274,Adventure|Comedy,,https://cdn.myanimelist.net/images/anime/1785/151710l.jpg
anime-55791,55791,[Oshi no Ko] 2nd Season,TV,2024,8.51,530831,Drama,Reincarnation|Showbiz,https://cdn.myanimelist.net/images/anime/1006/143302l.jpg
anime-11981,11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,2013,8.51,425007,Award Winning|Drama|Suspense,Mahou Shoujo|Psychological,https://cdn.myanimelist.net/images/anime/5/54231l.jpg
anime-31933,31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,2016,8.51,1284354,Action|Adventure,Super Power,https://cdn.myanimelist.net/images/anime/3/79156l.jpg
anime-35843,35843,Gintama. Porori-hen,TV,2017,8.51,223847,Action|Comedy|Sci-Fi,Gag Humor|Historical|Parody|Samurai,https://cdn.myanimelist.net/images/anime/11/88325l.jpg
anime-801,801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV,2004,8.51,243387,Mystery|Sci-Fi,Adult Cast|Detective|Mecha|Military,https://cdn.myanimelist.net/images/anime/1646/135390l.jpg
anime-60988,60988,Tian Guan Cifu Short Films,ONA,2025,8.5,12099,Action|Adventure|Drama|Fantasy,Historical|Mythology,https://cdn.myanimelist.net/images/anime/1174/149943l.jpg
