item_id,title,author,year,editions,subjects,image_url
book-/works/OL138052W,Alice's Adventures in Wonderland,Lewis Carroll,1865,3547,Juvenile Fiction|Classics|Fantasy & Magic|Imagination & Play|Adventure And Adventurers|Adventure Stories|Adventure Travel|Animals|Anthropomorphism|Artists' Illustrated Books,https://covers.openlibrary.org/b/id/10527843-L.jpg
book-/works/OL450063W,"Frankenstein; or, The Modern Prometheus",Mary Shelley,1818,2187,Frankenstein (Fictitious Character)|Fiction|Scientists|Monsters|Horror Stories|Horror Tales|English Fiction|English Literature|Readers|Monstrous,https://covers.openlibrary.org/b/id/12356249-L.jpg
book-/works/OL18417W,The Wonderful Wizard of Oz,L. Frank Baum,1899,2049,Witches|Spanish Language Materials|Fiction|Wizards|Juvenile Literature|Wizards In Fiction|Specimens|Imaginary Voyages In Fiction|Classic Literature|Imaginary Voyages,https://covers.openlibrary.org/b/id/552443-L.jpg
book-/works/OL85892W,Dracula,Bram Stoker,1897,1917,English Literature|Fiction|Horror|Horror Stories|Horror Tales|Monsters|Thriller|Vampires|Vampires In Literature|Horror Fiction,https://covers.openlibrary.org/b/id/12216503-L.jpg
book-/works/OL52267W,The Time Machine,H. G. Wells,1895,1146,Fiction|Time Travel In Fiction|Dystopias In Fiction|Literature|Scientists|Classic Literature|Open Library Staff Picks|Scientists In Fiction|Space Warfare|Self-Experimentation In Medicine,https://covers.openlibrary.org/b/id/9009316-L.jpg
book-/works/OL262460W,The Lost World,Arthur Conan Doyle,1900,747,Adventure Stories|Atlantis|Dinosaurs|Discovery And Exploration|English Detective And Mystery Stories|Fiction|Fiction In French|Prehistoric Peoples|Scientific Expeditions|Translations Into Czech,https://covers.openlibrary.org/b/id/8231444-L.jpg
book-/works/OL64365W,Brave New World,Aldous Huxley,1932,722,Utopias|Brainwashing|Moral And Ethical Aspects Of Science|Fiction|Science And State|Social Problems|Passivity (Psychology)|Culture|Propaganda|Genetic Engineering,https://covers.openlibrary.org/b/id/8231823-L.jpg
book-/works/OL85891W,The Jewel of Seven Stars,Bram Stoker,1902,653,Mummies|Horror|Fiction|Archaeologists|Classic Literature|Thriller|History|Mummies In Fiction|Archaeologists In Fiction|Gems,https://covers.openlibrary.org/b/id/2760301-L.jpg
book-/works/OL2771987W,Herland,Charlotte Perkins Gilman,1915,627,Utopias|Fiction|Women|Matriarchat|Utopie|Classic Literature|Open_Syllabus_Project|Matriarchy|Sex Role|Utopias In Literature,https://covers.openlibrary.org/b/id/448130-L.jpg
book-/works/OL74502W,The Iron Heel,Jack London,1907,597,Science Fiction|Classic Literature|Political Fiction|Utopias|Fiction|Oligarchy|Revolutionaries|Revolutions,https://covers.openlibrary.org/b/id/8243314-L.jpg
book-/works/OL118388W,Flatland,Edwin Abbott Abbott,1884,585,Fourth Dimension|Open Library Staff Picks|Denkbeeldige Landen|Film And Video Adaptations|Meetkunde|Science Fiction|Geometry|Film Adaptations|Fiction|Imaginary Places,https://covers.openlibrary.org/b/id/10069547-L.jpg
book-/works/OL52266W,The Invisible Man,H. G. Wells,0,563,Ciencia-Ficción|Classic Literature|Fiction|Mentally Ill|Science Fiction & Fantasy|Science Fiction|Scientists|English Science Fiction|Experiments|Adaptations,https://covers.openlibrary.org/b/id/6419199-L.jpg
book-/works/OL1168083W,Nineteen Eighty-Four,George Orwell,1949,536,Futurology|Censorship|Surveillance|Rebels|Sting Operations|Historical Negationism|Memory Holes|Thoughtcrime|Outer Party|Resistance Movements,https://covers.openlibrary.org/b/id/9267242-L.jpg
book-/works/OL15448W,The Princess and Curdie,George MacDonald,1832,487,Fairy Tales|Princesses|Fiction|Children'S Fiction|General|Juvenile Fiction|Fiction - General|Children: Kindergarten|Fairy Tales & Folklore - General|Classic Fiction,https://covers.openlibrary.org/b/id/14357835-L.jpg
book-/works/OL52114W,The War of the Worlds,H. G. Wells,0,457,Imaginary Wars And Battles|Juvenile Fiction|Space Warfare|Science Fiction & Fantasy|Fiction|Diseases|Martians|Invasions|Classic Literature|Open Library Staff Picks,https://covers.openlibrary.org/b/id/36314-L.jpg
book-/works/OL1418187W,A Princess of Mars,Edgar Rice Burroughs,1912,456,John Carter (Fictitious Character)|Fiction|Classic Literature|Dejah Thoris (Fictitious Character)|Princesses|Princesses In Fiction|Science Fiction|Translations Into Russian|Fantasy|Barsoom,https://covers.openlibrary.org/b/id/207226-L.jpg
book-/works/OL76473W,The Napoleon of Notting Hill,Gilbert Keith Chesterton,1904,454,Fiction|Classic Literature|Science Fiction|Politics And Government|English Fiction|Political Fiction|Fantastic Fiction|Translations Into Russian|Fantasy Fiction,https://covers.openlibrary.org/b/id/6980094-L.jpg
book-/works/OL450124W,The Last Man,Mary Shelley,1826,430,Fiction|Plague|Twenty-First Century|End Of The World|English Literature|Twenty-First Century -- Fiction|End Of The World -- Fiction|Plague -- Fiction|Long Now Manual For Civilization|Science Fiction,https://covers.openlibrary.org/b/id/882662-L.jpg
book-/works/OL1100007W,Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,1872,426,Viajes Alrededor Del Mundo|Translations Into Gujarati|Fiction|Translations From French|Historical Fiction|Korean Language Materials|Adventure And Adventurers|Open Library Staff Picks|Adventure Stories|Wagers,https://covers.openlibrary.org/b/id/6976035-L.jpg
book-/works/OL1418137W,The warlord of Mars #3,Edgar Rice Burroughs,1914,420,Classic Literature|Fiction|Historical Fiction|Science Fiction|Dejah Thoris (Fictitious Character)|Real Science Fiction|John Carter|Mars|Martian Series|Tharks,https://covers.openlibrary.org/b/id/207141-L.jpg
book-/works/OL1099280W,Vingt mille lieues sous les mers,Jules Verne,1870,384,Toy And Movable Books|Fiction|Specimens|Underwater Exploration|French Language|Submarine Boats|Translations From French|Submarines|Underwater Exploration In Fiction|Sea Stories,https://covers.openlibrary.org/b/id/6573517-L.jpg
