item_id,name,artist,year,popularity,genres,image_url
music-album-1cqqIH16XzBnDchrXJ9Enf,Vie,Doja Cat,2025,50,Dance-Pop,https://i.scdn.co/image/ab67616d0000b2733b219fb53c69f313f90fd4ce
music-album-07w0rG5TETcyihsEIZR3qG,SOS,SZA,2022,50,R&B,https://i.scdn.co/image/ab67616d0000b273bc18bdade69ec5ef0bb25b17
music-album-3jxt1S4JtW4uFalBwlfehS,143,Katy Perry,2024,38,Pop|Pop Rock|Bubblegum Pop|Dance-Pop|Electropop,https://i.scdn.co/image/ab67616d0000b273c21cdbedd49f4a5809cf7be9
music-album-6Ad1E9vl75ZB3Ir87zwXIJ,TIM,Avicii,2019,74,Progressive House|Edm|Electro House|Dance-Pop|Electropop,https://i.scdn.co/image/ab67616d0000b273660ee24281a547103f466ff5
music-album-5BrjR0P59l9SsbODztqs3q,KYGO,Kygo,2024,64,Tropical House|Dance|Deep House|Downtempo|Edm,https://i.scdn.co/image/ab67616d0000b273d8a83eeef1ad61cf199ce22d
music-album-22jBLZ3vPKcUyK9JbzXFo7,YEBO,WizTheMc,2025,6,Pop Rap,https://i.scdn.co/image/ab67616d0000b27312a333a62cf1a898ce04218a
music-album-48i37aZTC1prDr4EcpQeEa,ANTI,Rihanna,2016,42,Pop|R&B|Contemporary R&B|Dance-Pop|Hip Hop,https://i.scdn.co/image/ab67616d0000b2737b688587a6754481c53f6bb7
music-album-20dY0uZi9SzfrcWYfiWGqH,Play,Ed Sheeran,2025,26,Pop|Folk Pop|Dance-Pop|Folk|Singer-Songwriter,https://i.scdn.co/image/ab67616d0000b273b07c28bb3192bdfb585fb438
music-album-5Xd0KCzb0EJtPbUEiyxYVH,1432,Katy Perry,2024,38,Pop|Pop Rock|Bubblegum Pop|Dance-Pop|Electropop,https://i.scdn.co/image/ab67616d0000b273ddac71a12622bdc7e9d3e795
music-album-2k4FmEtXR0WiDW0Ac2QArT,petal,Ariana Grande,2026,12,Pop|R&B|Dance-Pop|Contemporary R&B|Trap Soul,https://i.scdn.co/image/ab67616d0000b2738baf677ee2d8dda6cc9fcbd7
music-album-7GToxH8az0ztPfYCeOAqij,BROWN,Chris Brown,2026,24,Pop|Contemporary R&B|R&B|Dance|Electro House,https://i.scdn.co/image/ab67616d0000b2734b28d4d23dc56dc3ceda4b5d
music-album-45gsxfnJ5Nt2RZp82SQenc,Sentio,Martin Garrix,2022,28,Edm|Big Room House|Electro House|Dance-Pop|Festival Progressive House,https://i.scdn.co/image/ab67616d0000b273edba220be76f96d51bd38838
music-album-3ARwSvDQv2OHYnLeDC3Lxi,MAYHEM,Lady Gaga,2025,50,Pop,https://i.scdn.co/image/ab67616d0000b2738d1cf82837651f08ac1ca1ca
music-album-3KKqjBV0QBcgfTErzdkEd3,Rocket,Dominic Fike,2025,34,Alternative Pop,https://i.scdn.co/image/ab67616d0000b273f83bcf37c54cd2ade3ecaec8
music-album-6sOJ6rEt2KO0j7aLoNMLaK,TYCOON,Ty Dolla $ign,2025,50,R&B,https://i.scdn.co/image/ab67616d0000b273712be553f73989a1b7607674
