item_id,rating,name,genres
music-2tIP7SsRs7vjIcLrU85W8J,10.0,The Kid LAROI,Hip Hop|Emo Rap|Pop Rap
music-3TVXtAsR1Inumwj472S9r4,9.8,Drake,Hip Hop|R&B|Contemporary R&B|Pop Rap|Alternative R&B
music-4q3ewBCX7sLwd24euuV69X,9.4,Bad Bunny,Reggaeton|Trap Latino|Latin|Hip Hop
music-1Xylc3o4UrD53lo9CvFvVg,9.2,Zara Larsson,Dance-Pop|Electropop|Pop|Contemporary R&B|Alternative Pop
music-1Cs0zKBU1kc0i8ypK3B9ai,8.8,David Guetta,House|Dance-Pop|Dance|Electro House|Electronic
music-246dkjvS1zLTtiykXe5h60,8.4,Post Malone,Hip Hop|Pop Rap|Trap|Alternative R&B|Cloud Rap
music-06HL4z0CvFAxyc27GXpf02,8.2,Taylor Swift,Pop|Country|Country Pop|Singer-Songwriter|Pop Rock
music-5y8tKLUfMvliMe8IKamR32,7.6,d4vd,Alternative R&B|Contemporary R&B|Indie Pop|Lo-Fi
music-1vCWHaC5f2uS3yhpwWbIA6,7.4,Avicii,Progressive House|Edm|Electro House|Dance-Pop|Electropop
music-1Xyo4u8uXC1ZmMpatF05PJ,7.2,The Weeknd,R&B|Alternative R&B|Contemporary R&B|Dance-Pop|Synth-Pop
music-07YZf4WDAMNwqr4jfgOZ8y,6.6,Jason Derulo,Pop|R&B|Contemporary R&B|Dance|Dance-Pop
music-23fqKkggKUBHNkbKtXEls4,6.4,Kygo,Tropical House|Dance|Deep House|Downtempo|Edm
music-45dkTj5sMRSjrmBSBeiHym,6.2,Tate McRae,Pop|Dance-Pop|Contemporary R&B|Pop Rock
music-1uNFoZAHBGtllmzznpCI3s,6.0,Justin Bieber,Pop|Teen Pop|Dance-Pop|Contemporary Country|Pop Rap
music-7DMveApC7UnC2NPfPvlHSU,5.8,Cheat Codes,Edm
music-2jku7tDXc6XoB6MO2hFuqg,5.6,Tory Lanez,Hip Hop|R&B|Alternative Hip Hop|Contemporary R&B|Dancehall
music-78rUTD7y6Cy67W1RVzYs7t,5.4,PinkPantheress,Uk Garage|Drum And Bass|Alternative Pop|Future Garage|Jungle
music-6KImCVD70vtIoJWnq6nGn3,5.2,Harry Styles,Pop|Funk|New Wave|Rock|Soft Rock
music-5JZ7CnR6gTvEMKX4g70Amv,5.0,LAUV,Alternative Pop|Electropop|Indie Pop|Pop|R&B
music-04gDigrS5kc9YWfZHwBETP,4.8,Maroon 5,Pop|Pop Rock|Rock|Alternative Rock|Dance-Pop
music-0du5cEVh5yTK9QJze8zA0C,4.6,Bruno Mars,Pop|Funk|R&B|Contemporary R&B|Hip Hop
music-6l3HvQ5sa6mXTsMTB19rO5,4.4,J. Cole,Hip Hop
music-5pKCCKE2ajJHZ9KAiaK11H,4.2,Rihanna,Pop|R&B|Contemporary R&B|Dance-Pop|Hip Hop
music-6jJ0s89eD6GaHleKKya26X,3.8,Katy Perry,Pop|Pop Rock|Bubblegum Pop|Dance-Pop|Electropop
music-7kNqXtgeIwFtelmRjWv205,3.6,John Summit,Dance|Edm|House|Progressive House
music-6USv9qhCn6zfxlBQIYJ9qs,3.4,Dominic Fike,Alternative Pop
music-4AK6F7OLvEQ5QYCBNiQWHq,3.2,One Direction,Pop|Dance-Pop|Pop Rock|Teen Pop|Folk Pop
music-0TnOYISbd1XYRBk9myaseg,3.0,Pitbull,Dance-Pop|Electropop|Dance|Electro House|Eurodance
music-60d24wfXkVzDSfLS6hyCjZ,2.8,Martin Garrix,Edm|Big Room House|Electro House|Dance-Pop|Festival Progressive House
music-6eUKZXaKkcviH0Ku9w2n3V,2.6,Ed Sheeran,Pop|Folk Pop|Dance-Pop|Folk|Singer-Songwriter
music-7bXgB6jMjp9ATFy66eO08Z,2.4,Chris Brown,Pop|Contemporary R&B|R&B|Dance|Electro House
music-74KM79TiuVKeVCqs8QtB0B,2.2,Sabrina Carpenter,Pop|Dance-Pop|Electropop
music-1wRPtKGflJrBx9BmLsSwlU,2.0,Pritam,Filmi
music-6TIYQ3jFPwQSRmorSezPxX,1.8,mgk,Hip Hop|Pop Punk|Pop Rap|Rap Rock
music-4G9NDjRyZFDlJKMRL8hx3S,1.4,sombr,Indie Pop|Pop Rock
music-66CXWjxzNUsdJxJ2JdwvnR,1.2,Ariana Grande,Pop|R&B|Dance-Pop|Contemporary R&B|Trap Soul
music-0jnsk9HBra6NMjO2oANoPY,0.8,Flo Rida,Pop Rap|Dance-Pop|Hip Hop|Electronic|Electropop
music-3ebS2RuCq8QeLyndUDmgB5,0.6,WizTheMc,Pop Rap
music-69GGBxA162lTqCwzJG5jLp,0.2,The Chainsmokers,Electro House|Edm|Dance-Pop|Electronic|Electropop
