item_id,league,season,date,away,home,away_score,home_score,away_logo,home_logo,final_margin,total_goals,red_cards,lead_changes,came_from_behind,late_drama,is_knockout
soccer-671031,eng.1,2024,2023-08-11 19:00:00+00:00,MNC,BUR,3,0,https://a.espncdn.com/i/teamlogos/soccer/500/382.png,https://a.espncdn.com/i/teamlogos/soccer/500/379.png,3,3,1,0,0,0,0
soccer-671032,eng.1,2024,2023-08-12 12:00:00+00:00,NFO,ARS,1,2,https://a.espncdn.com/i/teamlogos/soccer/500/393.png,https://a.espncdn.com/i/teamlogos/soccer/500/359.png,1,3,0,0,0,1,0
soccer-671033,eng.1,2024,2023-08-12 14:00:00+00:00,WHU,BOU,1,1,https://a.espncdn.com/i/teamlogos/soccer/500/371.png,https://a.espncdn.com/i/teamlogos/soccer/500/349.png,0,2,0,0,1,1,0
soccer-671034,eng.1,2024,2023-08-12 14:00:00+00:00,LTN,BHA,1,4,https://a.espncdn.com/i/teamlogos/soccer/500/301.png,https://a.espncdn.com/i/teamlogos/soccer/500/331.png,3,5,0,0,0,1,0
soccer-671035,eng.1,2024,2023-08-12 14:00:00+00:00,FUL,EVE,1,0,https://a.espncdn.com/i/teamlogos/soccer/500/370.png,https://a.espncdn.com/i/teamlogos/soccer/500/368.png,1,1,0,0,0,0,0
soccer-671036,eng.1,2024,2023-08-12 14:00:00+00:00,CRY,SHU,1,0,https://a.espncdn.com/i/teamlogos/soccer/500/384.png,https://a.espncdn.com/i/teamlogos/soccer/500/398.png,1,1,0,0,0,0,0
soccer-671037,eng.1,2024,2023-08-12 16:30:00+00:00,AVL,NEW,1,5,https://a.espncdn.com/i/teamlogos/soccer/500/362.png,https://a.espncdn.com/i/teamlogos/soccer/500/361.png,4,6,0,0,0,1,0
soccer-671038,eng.1,2024,2023-08-13 13:00:00+00:00,TOT,BRE,2,2,https://a.espncdn.com/i/teamlogos/soccer/500/367.png,https://a.espncdn.com/i/teamlogos/soccer/500/337.png,0,4,0,1,1,0,0
soccer-671039,eng.1,2024,2023-08-13 15:30:00+00:00,LIV,CHE,1,1,https://a.espncdn.com/i/teamlogos/soccer/500/364.png,https://a.espncdn.com/i/teamlogos/soccer/500/363.png,0,2,0,0,1,0,0
soccer-671040,eng.1,2024,2023-08-14 19:00:00+00:00,WOL,MAN,0,1,https://a.espncdn.com/i/teamlogos/soccer/500/380.png,https://a.espncdn.com/i/teamlogos/soccer/500/360.png,1,1,0,0,0,0,0
